slug,name,category,subtypes,description,city,region,latitude,longitude,duration_min,duration_max,seasonality,indoor_outdoor,energy_level,tags_experience_level,tags_mood,tags_terrain,tags_equipment,tags_context,tags_requirement,tags_risk_level,tags_weather_fit,tags_time_of_day,tags_travel_time_band,tags_skills,tags_cost_band,hero_image_url,source_url,notes
therme-bucharest-full-day,Full-Day Thermal & Sauna at Therme București,wellness,"thermal_spa,sauna,pool","Spend a full day across Galaxy, The Palm, and Elysium zones: mineral pools, saunas, Aufguss rituals, palm conservatory, and relaxation areas. Family-friendly sections and adults-only areas make it easy to tailor your vibe—recharge solo or make it a date-day.",Balotești,Ilfov,44.6054,26.0806,180,480,all,indoor,low,beginner,"relaxed,cozy,romantic","resort,urban",provided,"solo,family,date,small-group","booking-optional",low,all_weather,any,nearby,none_required,$$,,https://therme.ro/en/,"Choose zone passes at booking"
thaico-thai-massage-dorobanti,Thai Massage & Aromatherapy (THAIco Spa Dorobanți),wellness,"massage,thai,aromatherapy","Unwind with traditional Thai stretches or an aromatherapy oil massage delivered by trained therapists. Sessions can be tailored for sports recovery or deep relaxation. A calm, boutique setting in the city's north.",Bucharest,București,44.4487,26.0967,60,90,all,indoor,low,beginner,"relaxed,cozy,mindful","urban",provided,"solo,date","booking-required",low,all_weather,any,in-city,none_required,$$,,https://thaicospa.ro/,"Dorobanți location"
orchid-thai-spa-aroma,Orchid Thai Spa – Aromatherapy Ritual,wellness,"massage,aromatherapy","Choose your essential-oil blend and sink into a slow, tension-easing massage. Therapists use gentle pressure and warm oils to calm the nervous system—perfect for anxious days.",Bucharest,București,44.4472,26.1025,60,90,all,indoor,low,beginner,"mindful,relaxed,cozy","urban",provided,"solo,date","booking-required",low,all_weather,evening,in-city,none_required,$$,,https://orchidthaispa.ro/,"Confirm preferred branch on booking"
ana-spa-crowne-plaza,Ana Spa Daypass at Crowne Plaza,wellness,"spa,sauna,pool","Quiet thermal suite with saunas, pool, and treatment rooms inside a green north-side hotel. Add a sports or relaxing massage for a complete city retreat.",Bucharest,București,44.4802,26.0697,90,180,all,indoor,low,beginner,"relaxed,cozy","urban,resort",provided,"solo,date","booking-recommended",low,all_weather,any,in-city,none_required,$$,,https://www.anahotels.ro/crowne-plaza-bucharest/wellness/,"Check daypass access policy"
slanic-prahova-saltmine-wellness,Halotherapy Day at Slănic Prahova Salt Mine,wellness,"salt_therapy,cave","Breathe cool, saline-rich air inside vast underground galleries famed for respiratory benefits. Bring a sweater; stroll wide tunnels and relax in seating zones. Combine with a village lunch for an easy wellness day trip from Bucharest.",Slănic,Prahova,45.2405,25.9420,120,240,all,both,low,beginner,"mindful,relaxed,explorer","cave,valley",none,"solo,family,small-group","booking-optional",low,cold_friendly,daytime,day-trip,none_required,$,,https://salina-slănic.ro/,"Cash tickets common; hours vary"
cismigiu-quiet-bench-loop,Quick Reset: Cișmigiu Gardens Quiet Loop & Bench 7,nature,"park_walk,reset_spot","Enter via Bulevardul Regina Elisabeta, circle the small island footbridge, then pause at Bench 7 facing the willow fringe. A shady 20–30 minute loop ideal for pre-meeting decompression.",Bucharest,București,44.4360,26.0952,15,30,shoulder,outdoor,low,beginner,"mindful,cozy,relaxed","urban,park,lake",none,"solo,date","none",low,wind_sensitive,"sunrise,daytime,sunset",in-city,none_required,$,,https://www.bucharest.ro/locations/parks-cismigiu-garden-1188,"Exact bench area by the small bridge"
carol-park-mausoleum-view,Quick Reset: Carol Park Mausoleum Viewpoint Bench,nature,"viewpoint,park_bench","Climb the broad steps to the Mausoleum terrace then sit on the west-facing bench line for sunset over the lake and fountains. A contemplative, 15–25 minute pause.",Bucharest,București,44.4184,26.0950,15,30,shoulder,outdoor,low,beginner,"mindful,romantic,relaxed","urban,park,hill",none,"solo,date","none",low,wind_sensitive,"sunset,evening",in-city,none_required,$,,https://www.bucharest.ro/locations/parks-carol-park-1185,"Great golden-hour light"
botanical-garden-rosarium,Quick Reset: Botanical Garden Rosarium Loop,nature,"garden_walk,reset_spot","Buy a day ticket and follow the Rosarium path for seasonal blooms; finish with a 10-minute sit under the pergola. Calm, colorful, and sheltered from street noise.",Bucharest,București,44.4353,26.0612,20,40,shoulder,both,low,beginner,"mindful,creative,relaxed","urban,park",none,"solo,date","ticket-required",low,ok_in_rain,"daytime",in-city,none_required,$,,https://botanica.unibuc.ro/,"Palm House offers rainy-day backup"
kiseleff-shaded-boulevard,Quick Reset: Kiseleff Shaded Boulevard Benches,nature,"park_bench,stroll","Walk 5–10 minutes under plane trees between Piața Victoriei and Arcul de Triumf; sit mid-boulevard on a quiet bench to reset with people-watching.",Bucharest,București,44.4566,26.0872,10,25,shoulder,outdoor,low,beginner,"mindful,relaxed","urban,park",none,"solo","none",low,wind_sensitive,"daytime",in-city,none_required,$,,https://www.bucharest.ro/locations/boulevards-kiseleff-avenue-1076,"Best weekdays mid-morning"
titan-park-lakeside-reset,Quick Reset: Titan (A.I. Cuza) Lakeside – Insula Artelor,nature,"park_bench,photo_stop","Slip onto Insula Artelor via the footbridge and sit by the low stone wall facing the fountains. Water sounds + breeze = instant calm in 15–25 minutes.",Bucharest,București,44.4229,26.1713,15,30,summer,outdoor,low,beginner,"mindful,relaxed,cozy","urban,lake,park",none,"solo,date","none",low,wind_sensitive,"daytime,sunset",in-city,none_required,$,,https://www.bucharest.ro/locations/parks-alexandru-ioan-cuza-park-1182,"Fountain schedule seasonal"
